V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
TY2PWH,-16.633,-11.830,9FL3MI,14.197,-116.628,38RT18,-4.531,-14.234,21.701,12.736,JG0IUG,48.110,38.352
Y3D6ZU,8.646,3.066,B5BPAL,-31.837,-3.290,N9GKKB,-22.311,107.117,26.253,3.109,DAJ7P0,0.942,75.388
CRW2OZ,17.355,-13.517,L6QJXI,56.945,-51.174,WCAYX5,-17.371,-26.932,52.735,-8.870,Z87TIP,3.419,149.406
26DOSM,-24.280,39.919,8360S6,11.424,-16.051,CRKYZB,47.055,15.509,-96.000,23.039,VX0ZZC,43.498,95.207
BYEWCV,31.736,24.103,NVYKT3,7.096,-38.985,ZMQOD7,-0.576,-80.631,142.549,6.685,GOIUSH,-39.280,-108.598
XIAF7Q,6.056,19.486,MA7RJU,-49.344,36.861,ZUDXGZ,13.305,-0.754,-75.627,11.401,LV0AVZ,-110.628,-74.704
020XE4,1.732,-19.976,4ZA3M2,93.034,30.982,7MBL3N,52.532,38.702,-16.173,-14.055,KOJUNV,67.553,62.930
R5HUYW,-9.031,22.798,E9B48K,-82.600,-36.677,KSYH9S,1.522,-14.540,-16.029,8.721,PO0DSJ,117.545,-36.888
S0H1E1,5.841,0.278,KWO1DP,95.096,-27.396,KSTMHA,-21.395,22.583,39.755,-17.036,54JIWO,-20.065,77.033
XDUUDM,6.858,-30.197,BKU6K3,35.117,-2.334,VHMUQ4,48.916,99.398,74.997,-8.682,U819XD,18.025,50.652
WQO2I4,-9.050,-30.082,2A8RB4,112.182,-3.094,7MP8K5,-61.162,-6.682,-5.728,47.243,NHHBWJ,-7.501,-203.863
216W2N,21.785,-19.732,W6TWDR,-9.860,26.788,9IYOK2,127.799,-6.707,-200.519,26.229,FJIMW3,-100.984,-100.515
OW3YYL,-12.248,13.705,Q0LI34,24.258,-8.170,1GLUOR,-43.398,96.440,-121.038,-18.817,UW25SA,34.760,-79.145
VD79YQ,3.843,-4.988,P5JFBS,37.989,-9.882,RLD28N,84.645,-13.860,-3.827,-11.914,NGJH9Z,76.046,-91.956
NV7RCY,27.576,0.444,K5GNZU,-42.315,43.024,3N8BTW,-10.197,-33.214,18.532,25.088,S7HMNI,32.510,27.589
RX4IQS,23.754,21.922,OLUQ5A,36.749,-25.812,FMMFUO,64.522,-32.313,-136.478,18.961,OPT5O1,67.292,-3.557
HQWTF3,-12.164,29.131,QZA95H,70.788,6.582,52PJOL,130.469,39.745,-8.814,7.987,EHUKZV,7.829,-78.811
9V13PR,-2.655,2.114,9LG6OT,84.518,-16.261,36R683,26.122,62.733,122.744,14.042,S1XBHH,4.820,-21.285
9WQKQO,-12.929,11.003,O95N2Q,25.689,-21.318,34N4E1,60.866,25.477,32.639,-8.204,VAYSOY,-7.720,-6.790
9R1FOA,28.898,23.524,0A46MG,83.033,-32.170,6O5RCF,-62.371,8.650,37.979,45.316,0DB6LQ,-0.932,-83.993
B1GOUC,26.285,2.231,55PD9Q,-27.947,15.385,2QIBPB,100.457,23.258,2.849,25.479,GGEIM6,-47.968,-140.224
G0B30Y,-28.064,56.854,97MSVF,28.040,-53.711,PVL4EU,52.447,-27.111,25.516,-15.203,MTXBBT,-25.605,3.747
LFBY8S,10.151,-33.126,OEZ40M,-50.651,-6.313,K7EFMZ,70.144,-47.928,-36.418,-17.315,JFGHO7,-106.788,67.650
BQH609,-0.500,6.182,0FC0XM,-25.045,-52.786,UJHV8G,-89.402,45.924,-25.303,-34.289,IBQPPP,48.717,-192.952
0JVU6X,0.334,61.090,PRDARR,5.989,30.353,43PC4M,52.177,-4.006,21.791,31.746,RCH9PR,29.711,62.320
XN4R6U,13.552,12.887,3T0M25,8.430,-54.643,YN3MXE,-29.926,57.546,30.300,25.511,KXUPN9,63.987,109.798
99E6UD,-6.404,42.909,REA4JS,58.508,-43.074,2KKIZT,119.041,-77.054,-84.437,34.944,7DQNNI,57.667,-6.224
7Z685C,-5.597,6.798,LOS7SB,19.164,12.262,2XEMXA,80.047,-68.205,-14.828,5.823,6FSV2G,18.393,83.593
FM76HI,-12.101,13.954,029H77,41.105,-0.895,AHW46D,30.038,-55.911,-225.045,-18.450,5VH5ZA,62.090,-53.607
97JHQE,-3.621,-62.315,5S8F2E,82.947,-32.345,J9O15X,37.791,89.050,51.408,-11.977,DDS5ZV,-0.173,-50.897
7WB1BE,0.466,40.417,JHPH44,-68.613,58.443,EZ3JZR,-13.965,53.963,-31.387,6.617,Q7HQCE,88.086,-106.837
LASVCY,-20.438,-17.509,U4V6ON,-44.317,-69.026,M7COAR,-123.268,-20.608,8.812,28.836,QP86G7,-113.955,140.374
PK9G9I,24.307,22.830,WWFJPR,46.502,11.338,JKRKO2,82.308,-2.153,27.862,4.584,FCFDJK,-113.331,80.821
G7E8C7,-12.168,-53.119,W4BGM6,34.504,41.601,MZ84LF,-67.730,-27.829,-76.284,-1.451,318W8L,26.758,-27.687
71ZNAF,9.045,-45.619,DDFLUW,-7.568,45.626,KAGNRH,12.023,-22.993,105.324,11.532,3PPNB8,55.271,0.853
8E1LC1,-7.903,26.976,NZ8X79,57.363,-5.101,F2ABXN,5.086,63.296,-55.431,-18.200,QBBN09,-48.201,43.164
IIIU33,-3.389,41.657,GHXO07,36.753,-52.829,OO57PF,76.631,-79.081,112.574,-9.025,1OQV84,87.387,-2.836
GBTWNJ,-17.700,19.787,W25TED,-0.662,5.483,FOZXAJ,10.011,102.668,46.124,9.221,PKX36M,-56.508,-60.860
UVWW94,14.387,-73.387,RTGQFS,-0.580,-10.198,WVH4R7,35.231,12.187,8.760,24.229,JBTN49,-58.931,136.739
ZI5K5V,11.354,33.526,AOJX3G,-41.051,9.615,JFR87A,4.661,-11.454,-24.443,31.459,HA1BKH,92.086,-132.651
TE9QJN,9.634,-3.191,VLO77F,5.526,18.552,DOEX9B,17.213,-18.690,30.460,-26.050,TZ83YZ,2.312,28.369
PJG30A,3.961,2.767,WK54DE,-0.310,52.541,SZ4RQL,39.020,60.714,61.621,26.469,S2O5WW,-41.987,30.280
WJ7JNG,1.731,-39.973,GEWTTI,-75.185,-37.560,2CEOTE,39.717,27.629,113.448,12.064,TKSQ2T,73.013,8.793
